10,-57
-10,107
-10,-166
10,156
10,37
10,152
-10,139
-10,113
-10,-31
10,-109
10,-104
-10,41
10,58
-10,149
-10,-168
-10,147
10,30
10,-180
-10,-103
10,-41
-10,-86
-10,-26
-10,24
10,67
-10,165
-10,90
-10,124
-10,75
-10,136
10,-24
-10,-46
-10,-43
-10,-22
10,-70
-10,-144
-10,-75
-10,139
-10,66
-10,171
10,141
10,-1
10,-54
10,107
-10,-75
-10,136
-10,-106
-10,-54
10,139
-10,-152
-10,-111
-10,-11
-10,152
10,-4
-10,11
10,39
-10,-141
10,-91
10,110
10,-71
10,-160
10,145
-10,-11
-10,167
10,-4
-10,-135
10,-178
-10,-64
-10,-128
10,-6
-10,-95
-10,-114
-10,-85
10,71
-10,29
-10,-85
-10,64
10,-153
-10,-87
-10,-78
10,162
10,49
10,89
10,99
-10,38
-10,-76
-10,-55
-10,-32
-10,119
10,-145
10,-99
-10,59
10,114
10,-62
-10,-24
-10,136
-10,71
-10,-70
10,152
10,179
-10,-134
10,-148
10,155
-10,139
-10,-57
-10,175
10,106
10,101
10,-65
10,59
-10,-59
10,-169
10,-105
10,-102
-10,43
-10,108
10,-68
-10,-178
-10,176
10,-68
10,102
