10,81
-10,-82
-10,29
10,131
-10,2
-10,-94
10,105
-10,-66
-10,-80
-10,-38
-10,-93
10,165
-10,148
10,-111
10,55
-10,8
-10,-172
10,-142
10,99
10,76
10,-73
10,20
10,161
-10,174
-10,159
10,-117
-10,-84
10,99
10,-66
-10,124
10,-82
10,140
-10,116
-10,-145
-10,-177
10,140
-10,61
10,-101
-10,-51
10,37
-10,149
-10,4
-10,2
10,51
-10,-58
-10,42
10,68
-10,55
10,-38
-10,69
-10,162
-10,4
-10,-68
-10,162
-10,-4
-10,116
-10,104
10,-164
10,-20
-10,58
10,87
10,108
-10,-148
10,-44
10,110
10,35
-10,90
-10,6
-10,-27
-10,-79
10,135
-10,38
10,-130
10,-110
-10,-157
10,7
-10,53
10,-68
10,-37
-10,-94
-10,-168
-10,19
10,-156
10,-9
10,103
-10,167
10,150
10,-125
-10,-175
-10,10
-10,-154
10,174
-10,-124
-10,-152
10,-19
10,38
10,-136
-10,-158
-10,-156
-10,97
10,7
10,-98
-10,-48
10,160
-10,91
10,94
10,-95
10,-171
10,141
-10,-27
-10,24
10,-39
10,168
10,113
10,-114
10,85
10,65
-10,-168
-10,-78
10,145
-10,176
-10,130
10,172
10,-122
-10,-160
-10,-21
-10,150
-10,76
10,120
-10,97
-10,-160
10,171
-10,3
10,-141
-10,-21
-10,170
10,156
10,70
10,-46
-10,-20
10,14
10,37
10,47
10,-136
10,172
-10,149
10,81
10,107
10,92
10,147
-10,127
-10,95
-10,38
-10,-35
10,164
10,40
10,48
10,144
-10,-144
10,-27
10,158
-10,-68
10,19
10,35
-10,-30
-10,-152
-10,178
10,105
-10,18
-10,64
10,149
-10,-70
10,-5
10,137
10,-174
-10,13
10,170
10,-82
10,147
-10,84
10,178
-10,138
10,-41
10,149
10,-151
-10,26
-10,-109
-10,106
-10,163
10,114
-10,-72
10,129
10,143
10,-5
-10,-157
-10,34
-10,-56
-10,29
-10,-31
-10,-87
-10,75
10,-137
-10,-152
10,20
10,-142
-10,-161
10,-80
10,-133
10,-164
-10,-11
10,37
-10,43
10,-67
10,-116
-10,34
10,115
10,-180
10,106
-10,135
10,-93
-10,130
-10,-63
-10,95
-10,68
10,116
-10,-140
10,77
10,87
10,20
10,61
10,67
10,46
10,-112
10,-101
-10,105
-10,-164
-10,-165
10,-90
-10,-118
10,-57
-10,107
-10,-166
10,156
10,37
10,152
-10,139
-10,113
-10,-31
10,-109
10,-104
-10,41
10,58
-10,149
-10,-168
-10,147
10,30
10,-180
-10,-103
10,-41
-10,-86
-10,-26
-10,24
10,67
-10,165
-10,90
-10,124
-10,75
-10,136
10,-24
-10,-46
-10,-43
-10,-22
10,-70
-10,-144
-10,-75
-10,139
-10,66
-10,171
10,141
10,-1
10,-54
10,107
-10,-75
-10,136
-10,-106
-10,-54
10,139
-10,-152
-10,-111
-10,-11
-10,152
10,-4
-10,11
10,39
-10,-141
10,-91
10,110
10,-71
10,-160
10,145
-10,-11
-10,167
10,-4
-10,-135
10,-178
-10,-64
-10,-128
10,-6
-10,-95
-10,-114
-10,-85
10,71
-10,29
-10,-85
-10,64
10,-153
-10,-87
-10,-78
10,162
10,49
10,89
10,99
-10,38
-10,-76
-10,-55
-10,-32
-10,119
10,-145
10,-99
-10,59
10,114
10,-62
-10,-24
-10,136
-10,71
-10,-70
10,152
10,179
-10,-134
10,-148
10,155
-10,139
-10,-57
-10,175
10,106
10,101
10,-65
10,59
-10,-59
10,-169
10,-105
10,-102
-10,43
-10,108
10,-68
-10,-178
-10,176
10,-68
10,102
-10,29
