userID	responseGiven	responseCharacter	stimType	trialNum	responseTime	stimulus_duration	mask_duration	blank_duration	feedback_duration	numFacesSeen	jitter	adaptation_duration	accuracyScore
3	68	D	1	0	1349	199	0	50	850	251	1	120001	0.000
3	68	D	0	1	974	199	0	50	1226	251	1	120001	1.000
3	68	D	1	2	847	200	0	50	1353	251	1	120001	0.000
3	68	D	1	3	1103	199	0	51	1094	251	1	120001	0.000
3	68	D	1	4	1277	199	0	50	921	251	1	120001	0.000
3	68	D	1	5	1263	199	0	50	937	251	1	120001	0.000
3	68	D	1	6	1213	199	0	50	984	251	1	120001	0.000
3	83	S	0	7	947	201	1	49	1253	251	1	120001	0.000
3	68	D	1	8	834	199	0	49	1365	251	1	120001	0.000
3	68	D	1	9	1593	199	0	50	606	251	1	120001	0.000
3	NULL	NULL	1	10	2253	199	0	50	NULL	251	1	120001	0.000
3	NULL	NULL	0	11	2255	200	1	50	NULL	251	1	120001	0.000
16	83	S	1	0	1243	200	0	50	957	240	-1	120006	1.000
16	83	S	0	1	797	198	1	51	1402	240	-1	120006	0.000
16	83	S	1	2	998	199	0	51	1201	240	-1	120006	1.000
16	83	S	1	3	698	199	0	51	1501	240	-1	120006	1.000
16	83	S	1	4	859	199	0	51	1340	240	-1	120006	1.000
16	83	S	1	5	1486	199	0	48	715	240	-1	120006	1.000
16	83	S	1	6	825	200	0	51	1375	240	-1	120006	1.000
16	83	S	0	7	828	199	1	51	1371	240	-1	120006	0.000
16	83	S	1	8	813	200	0	51	1386	240	-1	120006	1.000
16	83	S	1	9	828	200	0	52	1371	240	-1	120006	1.000
16	83	S	1	10	940	198	0	25	1284	240	-1	120006	1.000
16	83	S	0	11	685	200	0	50	1515	240	-1	120006	0.000
16	83	S	0	12	728	198	0	51	1469	240	-1	120006	0.000
16	83	S	1	13	634	200	0	49	1567	240	-1	120006	1.000
16	83	S	1	14	653	199	0	49	1547	240	-1	120006	1.000
16	68	D	0	15	1007	200	0	51	1194	240	-1	120006	1.000
16	68	D	1	16	1023	199	0	50	1176	240	-1	120006	0.000
16	83	S	0	17	865	198	0	51	1332	240	-1	120006	0.000
16	68	D	0	18	1849	197	0	50	348	240	-1	120006	1.000
16	68	D	1	19	1119	199	0	50	1079	240	-1	120006	0.000
16	68	D	0	20	1719	196	0	49	478	235	-3	120002	1.000
16	83	S	0	21	1613	200	1	46	594	235	-3	120002	0.000
16	68	D	0	22	792	200	0	50	1408	235	-3	120002	1.000
16	68	D	0	23	1108	200	0	51	1092	235	-3	120002	1.000
16	68	D	0	24	939	198	0	51	1258	235	-3	120002	1.000
16	68	D	0	25	1150	200	1	48	1050	235	-3	120002	1.000
16	83	S	0	26	948	195	0	51	1247	235	-3	120002	0.000
16	83	S	1	27	1202	199	0	51	996	235	-3	120002	1.000
16	83	S	0	28	1400	200	0	50	800	235	-3	120002	0.000
16	83	S	1	29	848	198	0	51	1350	235	-3	120002	1.000
16	68	D	0	30	1196	197	0	48	1003	235	-3	120002	1.000
16	83	S	0	31	916	200	0	50	1284	235	-3	120002	0.000
16	68	D	0	32	1035	198	0	51	1162	235	-3	120002	1.000
16	68	D	0	33	1020	198	0	50	1177	235	-3	120002	1.000
16	68	D	0	34	1092	198	0	51	1105	235	-3	120002	1.000
16	68	D	0	35	1204	198	0	49	994	235	-3	120002	1.000
16	83	S	1	36	1022	200	0	50	1178	235	-3	120002	1.000
16	83	S	1	37	875	199	0	51	1324	235	-3	120002	1.000
16	83	S	1	38	820	200	0	51	1378	235	-3	120002	1.000
16	68	D	1	39	889	199	0	51	1309	235	-3	120002	0.000
16	68	D	0	40	1591	198	0	49	607	224	-5	120001	1.000
16	68	D	0	41	777	200	0	51	1423	224	-5	120001	1.000
16	68	D	0	42	759	200	0	51	1440	224	-5	120001	1.000
16	68	D	0	43	774	198	0	51	1424	224	-5	120001	1.000
16	83	S	0	44	955	199	0	51	1244	224	-5	120001	0.000
16	68	D	0	45	1009	198	0	44	1194	224	-5	120001	1.000
16	83	S	0	46	709	199	0	51	1490	224	-5	120001	0.000
16	68	D	1	47	795	199	0	51	1404	224	-5	120001	0.000
16	68	D	1	48	824	199	0	50	1375	224	-5	120001	0.000
16	68	D	0	49	1567	198	0	51	631	224	-5	120001	1.000
16	68	D	0	50	991	199	0	51	1207	224	-5	120001	1.000
16	83	S	1	51	936	198	0	50	1262	224	-5	120001	1.000
16	83	S	1	52	901	201	0	51	1298	224	-5	120001	1.000
16	83	S	1	53	1281	199	0	51	917	224	-5	120001	1.000
16	83	S	1	54	1273	200	0	51	926	224	-5	120001	1.000
16	83	S	0	55	885	200	0	51	1314	224	-5	120001	0.000
16	68	D	0	56	716	198	0	51	1482	224	-5	120001	1.000
16	68	D	1	57	857	199	0	52	1342	224	-5	120001	0.000
16	83	S	0	58	963	200	0	50	1237	224	-5	120001	0.000
16	68	D	0	59	848	201	0	50	1353	224	-5	120001	1.000
16	68	D	1	60	1444	199	0	50	754	240	3	120001	0.000
16	83	S	0	61	1747	201	0	51	449	240	3	120001	0.000
16	68	D	0	62	1040	200	0	51	1160	240	3	120001	1.000
16	68	D	0	63	791	200	0	50	1409	240	3	120001	1.000
16	68	D	0	64	843	198	0	51	1355	240	3	120001	1.000
16	68	D	1	65	827	200	0	51	1373	240	3	120001	0.000
16	68	D	1	66	861	198	0	48	1340	240	3	120001	0.000
16	83	S	0	67	1066	198	0	50	1131	240	3	120001	0.000
16	68	D	0	68	772	199	0	51	1427	240	3	120001	1.000
16	68	D	1	69	738	200	0	51	1461	240	3	120001	0.000
16	83	S	1	70	1137	199	0	49	1062	240	3	120001	1.000
16	68	D	1	71	795	199	0	51	1403	240	3	120001	0.000
16	83	S	1	72	1497	199	0	51	702	240	3	120001	1.000
16	68	D	1	73	818	199	0	51	1380	240	3	120001	0.000
16	83	S	0	74	1550	199	0	51	649	240	3	120001	0.000
16	83	S	1	75	964	199	0	50	1235	240	3	120001	1.000
16	68	D	1	76	1430	189	0	52	758	240	3	120001	0.000
16	68	D	1	77	913	200	0	51	1287	240	3	120001	0.000
16	83	S	0	78	866	198	0	50	1331	240	3	120001	0.000
16	83	S	1	79	1187	198	0	51	1011	240	3	120001	1.000
22	83	S	1	0	751	198	0	51	1447	237	-4	120000	1.000
22	83	S	0	1	709	199	0	50	1491	237	-4	120000	0.000
22	83	S	1	2	872	197	0	50	1326	237	-4	120000	1.000
22	83	S	1	3	895	202	0	49	1305	237	-4	120000	1.000
22	83	S	1	4	1329	197	0	51	868	237	-4	120000	1.000
22	83	S	1	5	902	199	0	51	1296	237	-4	120000	1.000
22	83	S	1	6	1019	200	0	50	1181	237	-4	120000	1.000
22	83	S	0	7	720	202	0	49	1480	237	-4	120000	0.000
22	83	S	1	8	725	200	0	51	1474	237	-4	120000	1.000
22	68	D	1	9	887	198	0	51	1310	237	-4	120000	0.000
22	83	S	1	10	681	198	0	51	1517	237	-4	120000	1.000
22	83	S	0	11	750	200	0	49	1451	237	-4	120000	0.000
22	83	S	0	12	1057	198	0	51	1141	237	-4	120000	0.000
22	83	S	1	13	934	199	0	51	1265	237	-4	120000	1.000
22	83	S	1	14	873	198	0	51	1325	237	-4	120000	1.000
22	68	D	0	15	876	198	0	50	1323	237	-4	120000	1.000
22	83	S	1	16	913	199	0	50	1286	237	-4	120000	1.000
22	83	S	0	17	1953	197	0	51	244	237	-4	120000	0.000
22	83	S	0	18	738	198	0	51	1459	237	-4	120000	0.000
22	68	D	1	19	1273	201	0	49	927	237	-4	120000	0.000
22	68	D	0	21	1082	199	0	50	1117	245	4	120007	1.000
22	83	S	0	22	860	198	0	50	1338	245	4	120007	0.000
22	68	D	0	23	1358	198	0	50	841	245	4	120007	1.000
22	83	S	0	24	850	200	0	50	1349	245	4	120007	0.000
22	83	S	0	25	866	198	0	51	1330	245	4	120007	0.000
22	83	S	0	26	1748	197	0	51	449	245	4	120007	0.000
22	68	D	1	27	1635	199	0	50	561	245	4	120007	0.000
22	68	D	0	28	1177	200	0	49	1022	245	4	120007	1.000
22	83	S	1	29	861	199	0	50	1338	245	4	120007	1.000
22	83	S	0	30	1119	199	0	50	1081	245	4	120007	0.000
22	68	D	0	31	1120	201	0	49	1080	245	4	120007	1.000
22	68	D	0	32	898	197	0	51	1299	245	4	120007	1.000
22	68	D	0	33	1201	197	0	51	996	245	4	120007	1.000
22	68	D	0	34	1281	199	0	50	919	245	4	120007	1.000
