userID	responseGiven	reactionTime	correctResp	primeShift	trialNum	blank0_duration	prime_duration	blank1_duration	target_duration	blank2_duration	mask_duration	blank3_duration	accuracyScore
786	82	3453	98	45	0	501	200	0	50	201	99	99	82.200
786	99	2808	68	45	1	501	200	0	49	201	99	101	65.500
786	271	2020	248	-45	2	500	201	0	49	200	100	100	74.400
786	289	2146	308	-45	3	500	201	0	49	201	99	101	78.800
786	258	3081	188	-45	4	501	200	0	50	201	99	99	22.200
786	344	3076	128	45	5	500	201	0	50	200	99	100	-60.000
786	358	2145	338	45	6	500	201	0	50	200	99	100	77.700
786	252	2434	218	-45	7	501	200	0	50	201	99	99	62.200
786	355	2847	38	-45	8	500	201	0	50	200	99	100	52.200
786	22	2214	8	45	9	501	200	0	50	201	99	99	84.400
786	299	2092	278	-45	10	500	201	0	49	201	99	101	76.600
786	253	3322	158	45	11	501	200	0	50	201	99	99	-5.600
806	195	4330	98	45	0	545	151	1	50	133	175	94	-7.800
806	348	7470	68	45	1	514	225	1	33	201	87	174	11.100
806	22	5553	248	-45	2	517	188	1	114	174	136	102	-48.900
806	181	9853	308	-45	3	512	198	1	103	191	108	61	-41.200
806	205	2437	188	-45	4	490	204	1	110	156	152	76	81.100
806	250	3394	128	45	5	491	203	0	48	202	107	99	-35.600
806	306	3133	338	45	6	509	198	0	110	197	105	70	64.400
806	329	5906	218	-45	7	511	192	0	98	200	109	57	-23.400
806	169	5428	38	-45	8	517	186	1	15	166	167	135	-45.600
806	161	4787	8	45	9	516	192	0	105	203	104	64	-70.000
806	299	3909	278	-45	10	503	200	1	89	190	118	62	76.600
806	341	2759	158	45	11	512	200	1	50	201	98	98	-96.700
782	82	3024	98	45	0	501	200	0	50	200	101	99	82.200
782	41	2758	68	45	1	502	200	0	50	201	98	101	70.000
782	297	2116	248	-45	2	501	201	0	49	200	99	101	45.500
782	279	3494	308	-45	3	501	200	0	50	200	100	100	67.700
782	193	2516	188	-45	4	501	201	0	51	201	98	99	94.400
782	127	2526	128	45	5	500	201	0	51	200	99	100	98.800
782	353	2319	338	45	6	500	201	0	49	200	100	100	83.300
782	216	2620	218	-45	7	502	200	0	49	201	98	101	97.700
782	31	2094	38	-45	8	501	200	0	51	199	100	99	92.200
782	6	2156	8	45	9	501	201	0	51	200	98	99	97.700
782	285	3044	278	-45	10	502	200	0	49	202	98	101	92.200
782	160	2828	158	45	11	502	200	0	50	200	99	100	97.700
827	95	2199	98	45	0	501	201	0	50	201	99	100	96.600
827	103	2501	68	45	1	501	201	0	49	201	99	101	61.100
827	178	2164	248	-45	2	500	201	0	51	200	100	99	22.200
827	278	2164	308	-45	3	501	200	0	50	201	99	100	66.600
827	191	2039	188	-45	4	500	201	0	49	200	100	102	96.600
827	165	2153	128	45	5	501	200	0	50	200	100	99	58.800
827	40	2264	338	45	6	501	200	0	50	200	100	100	31.100
827	214	2152	218	-45	7	501	199	1	50	200	100	100	95.500
827	36	2052	38	-45	8	501	200	0	50	200	100	99	97.700
827	39	2602	8	45	9	501	200	0	50	200	101	100	65.500
827	324	2040	278	-45	10	501	200	0	51	199	101	100	48.800
827	187	2388	158	45	11	501	200	0	50	200	101	100	67.700
831	328	4001	98	45	0	501	200	0	49	201	99	101	-44.500
831	75	2058	68	45	1	501	200	0	49	201	99	101	92.200
831	203	2570	248	-45	2	501	200	0	49	200	100	101	50.000
831	331	3712	308	-45	3	500	201	0	50	200	99	100	74.400
831	194	2210	188	-45	4	501	200	0	49	201	99	101	93.300
831	43	4034	128	45	5	502	200	0	49	201	99	101	5.500
831	301	3591	338	45	6	500	201	0	50	200	99	100	58.800
831	253	2591	218	-45	7	500	200	0	50	200	100	100	61.100
831	33	3163	38	-45	8	500	201	0	50	200	99	100	94.400
831	19	2678	8	45	9	501	200	0	49	201	99	101	87.700
831	346	3000	278	-45	10	500	201	0	50	200	99	100	24.400
831	174	2382	158	45	11	501	200	0	49	201	99	101	82.200
837	105	3231	98	45	0	500	201	0	50	200	99	100	92.200
837	122	2340	68	45	1	500	201	0	49	201	99	101	40.000
837	212	3514	248	-45	2	501	201	0	49	201	99	101	60.000
837	291	2956	308	-45	3	500	201	0	49	201	99	101	81.100
837	139	2515	188	-45	4	500	201	0	45	205	99	101	45.500
837	154	2334	128	45	5	501	200	0	49	187	113	101	71.100
837	331	2349	338	45	6	501	200	0	49	201	99	101	92.200
837	179	2187	218	-45	7	500	201	0	50	200	99	100	56.600
837	338	2234	38	-45	8	500	201	0	50	198	101	101	33.300
837	29	2080	8	45	9	501	200	0	49	201	99	101	76.600
837	292	2177	278	-45	10	501	200	0	49	201	99	101	84.400
837	167	2487	158	45	11	501	200	0	49	201	99	101	90.000
842	78	4109	98	45	0	506	204	1	64	189	102	92	77.700
842	67	3581	68	45	1	505	202	1	61	190	104	96	98.800
842	214	6978	248	-45	2	496	203	1	61	187	110	94	62.200
842	280	2830	308	-45	3	498	202	0	59	192	108	98	68.800
842	181	3738	188	-45	4	512	199	0	61	188	102	93	92.200
842	95	5586	128	45	5	523	192	1	54	199	106	90	63.300
842	331	2516	338	45	6	499	205	0	63	186	109	97	92.200
842	191	2726	218	-45	7	500	201	0	56	194	111	99	70.000
842	33	2241	38	-45	8	499	206	1	57	194	97	97	94.400
842	7	3155	8	45	9	492	215	0	61	187	101	99	98.800
842	284	3485	278	-45	10	505	197	1	54	196	106	98	93.300
842	139	2564	158	45	11	506	209	0	58	191	100	97	78.800
841	78	3106	98	45	0	502	200	0	50	200	100	99	77.700
841	10	2775	68	45	1	502	200	0	50	200	99	101	35.500
841	218	2275	248	-45	2	500	201	0	49	200	100	101	66.600
841	169	2412	308	-45	3	500	201	0	52	199	100	99	-54.500
841	231	3411	188	-45	4	501	200	0	50	201	98	101	52.200
841	141	2656	128	45	5	500	201	0	55	200	101	95	85.500
841	350	2273	338	45	6	503	199	0	51	199	99	99	86.600
841	196	2453	218	-45	7	504	199	0	50	201	99	100	75.500
841	8	2036	38	-45	8	502	200	0	50	201	99	100	66.600
841	352	2615	8	45	9	502	200	0	49	201	99	101	82.200
841	269	4519	278	-45	10	501	200	0	51	199	100	101	90.000
841	148	2102	158	45	11	502	200	0	50	201	99	100	88.800
844	50	2583	98	45	0	502	199	0	50	200	100	100	46.600
844	92	2811	68	45	1	500	201	0	50	200	101	98	73.300
844	238	2660	248	-45	2	501	200	0	50	199	101	100	88.800
844	296	2278	308	-45	3	500	200	0	52	200	100	99	86.600
844	202	2813	188	-45	4	500	200	0	50	199	102	99	84.400
844	123	2988	128	45	5	501	199	0	49	200	101	101	94.400
844	351	2221	338	45	6	500	200	0	50	200	102	99	85.500
844	207	2476	218	-45	7	501	200	0	51	200	100	99	87.700
844	21	2325	38	-45	8	501	199	0	50	199	102	99	81.100
