10,145
-10,176
-10,130
10,172
10,-122
-10,-160
-10,-21
-10,150
-10,76
10,120
-10,97
-10,-160
10,171
-10,3
10,-141
-10,-21
-10,170
10,156
10,70
10,-46
-10,-20
10,14
10,37
10,47
10,-136
10,172
-10,149
10,81
10,107
10,92
10,147
-10,127
-10,95
-10,38
-10,-35
10,164
10,40
10,48
10,144
-10,-144
10,-27
10,158
-10,-68
10,19
10,35
-10,-30
-10,-152
-10,178
10,105
-10,18
-10,64
10,149
-10,-70
10,-5
10,137
10,-174
-10,13
10,170
10,-82
10,147
-10,84
10,178
-10,138
10,-41
10,149
10,-151
-10,26
-10,-109
-10,106
-10,163
10,114
-10,-72
10,129
10,143
10,-5
-10,-157
-10,34
-10,-56
-10,29
-10,-31
-10,-87
-10,75
10,-137
-10,-152
10,20
10,-142
-10,-161
10,-80
10,-133
10,-164
-10,-11
10,37
-10,43
10,-67
10,-116
-10,34
10,115
10,-180
10,106
-10,135
10,-93
-10,130
-10,-63
-10,95
-10,68
10,116
-10,-140
10,77
10,87
10,20
10,61
10,67
10,46
10,-112
10,-101
-10,105
-10,-164
-10,-165
10,-90
-10,-118
